win_dim,num_tuples
10,13
20,13
30,11
40,10
50,10
60,10
70,10
80,10
90,10
100,10
110,10
120,10
130,10
140,10
150,10
160,10
170,10
180,10
190,10
200,10
210,10
220,10
230,10
240,10
250,10
260,10
270,10
280,10
290,10
300,10
310,9
320,9
330,9
340,9
350,9
360,9
370,9
380,9
390,9
400,9
410,9
420,9
430,9
440,9
450,9
460,9
470,9
480,9
490,9
500,9
510,9
520,9
530,9
540,9
550,9
560,9
570,9
580,9
590,9
600,9
610,9
620,9
630,9
640,9
650,9
660,9
670,9
680,9
690,9
700,9
710,9
720,9
730,9
740,9
750,9
760,9
770,9
780,9
790,9
800,9
810,9
820,9
830,9
840,9
850,9
860,9
870,9
880,9
890,9
900,9
910,9
920,9
930,9
940,9
950,9
960,9
970,9
980,9
990,9
1000,9
1010,9
1020,9
1030,9
1040,9
1050,9
1060,9
1070,9
1080,9
1090,9
1100,9
1110,9
1120,9
1130,8
1140,8
1150,8
1160,8
1170,8
1180,8
1190,8
1200,8
1210,8
1220,8
1230,8
1240,8
1250,8
1260,8
1270,8
1280,8
1290,8
1300,8
1310,8
1320,8
1330,8
1340,8
1350,8
1360,8
1370,8
1380,8
1390,8
1400,8
1410,8
1420,8
1430,8
1440,8
1450,8
1460,8
1470,8
1480,8
1490,8
1500,8
1510,8
1520,8
1530,8
1540,8
1550,8
1560,8
1570,8
1580,8
1590,8
1600,8
